#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      286.2   119.8   109.4   192.3   208.2   270.0   293.0   307.2   317.1   331.3   349.6   387.2   822.3  1496.9  2565.2   4006.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      314.7   152.6   101.3   183.0   206.5   295.6   328.3   347.1   362.4   379.3   402.6   452.1   947.1  2241.4  3106.0   9053.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      377.4   398.8   101.3   169.2   197.0   335.0   379.9   404.4   424.5   449.7   487.9   556.5  1625.2  6786.9  8628.0  13988.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      379.9   404.9    93.8   161.8   186.0   337.5   390.8   420.9   444.2   474.7   514.5   582.5  1418.2  6279.7 10557.3  19032.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      419.0   488.2    93.8   162.3   187.5   354.0   419.9   461.2   493.5   532.1   582.8   679.2  1892.4  7262.9 12276.0  24024.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      389.6   316.4    93.8   155.2   179.9   344.3   414.6   460.2   493.4   532.2   582.6   667.8  1350.5  4888.8  6883.8  28952.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      402.6   298.7    86.8   154.7   181.2   355.4   434.0   487.9   525.3   568.4   621.2   716.7  1281.4  4711.4  5910.8  33928.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      485.3   442.3    93.8   162.1   196.8   396.4   497.9   559.1   603.2   661.1   760.6  1019.7  2193.7  5501.7  6930.4  39027.7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      550.5   416.2    86.8   181.9   228.9   464.8   585.6   654.8   714.6   799.4   941.8  1172.9  1962.2  5363.7  7455.6  44021.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1411.1   437.5   118.1  1112.0  1155.3  1320.2  1377.6  1422.1  1455.0  1487.8  1597.9  2447.8  2918.9  5950.5  8301.3  45018.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1292.7   434.2   236.1  1012.6  1045.3  1190.7  1247.7  1274.6  1307.6  1359.1  1506.4  2276.4  2678.4  5842.7  8969.4  49301.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1349.3   358.8   202.4  1075.2  1118.8  1268.3  1327.6  1357.2  1375.7  1417.8  1491.0  2360.9  2709.4  3714.9  6939.7  47333.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1282.4   375.2   127.6  1026.3  1054.2  1185.3  1241.0  1267.5  1285.5  1344.3  1471.9  2269.7  2558.0  4388.3  6243.2  49840.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1309.4   441.6   187.4  1030.6  1065.9  1208.3  1259.6  1284.3  1324.9  1365.5  1494.4  2294.8  2681.2  5918.1  9319.5  48829.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1381.5   552.0   275.4  1073.1  1115.2  1253.1  1311.1  1348.1  1371.3  1422.8  1628.2  2433.1  3259.8  8059.3 11892.8  46299.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1290.0   371.6   275.4  1022.7  1057.9  1207.7  1258.9  1283.0  1320.5  1358.9  1450.3  2272.9  2553.7  4144.3  8939.7  49575.2
