#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      242.3    55.8   127.6   184.9   194.6   236.6   255.5   266.3   273.0   282.2   292.7   311.4   355.4   463.7  2288.3   3976.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      264.7    56.6   127.6   183.9   201.0   262.4   283.9   294.9   304.3   315.1   329.5   350.6   403.0   549.7  1566.6   9034.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      290.1    94.8   118.1   179.9   199.2   287.0   313.2   327.9   338.9   351.7   368.8   396.8   466.5  1624.5  2992.1  14012.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      297.0    89.3   118.1   176.1   192.4   296.3   327.2   343.5   356.0   369.6   388.9   418.5   497.1   946.2  2321.3  19134.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      304.4   109.5   118.1   171.6   186.3   304.5   339.5   358.2   370.8   387.0   404.8   435.9   532.9  1350.8  3406.3  23958.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      306.0   243.0   118.1   170.0   183.4   303.1   343.9   364.7   378.7   395.6   416.9   451.4   541.6  1066.2  4626.9  28865.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      313.4   116.4   118.1   166.7   180.8   312.0   357.9   381.4   397.3   416.3   439.2   484.4   582.6  1160.4  2729.9  34021.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      317.0   116.5   118.1   164.5   178.3   313.8   364.9   390.5   407.6   428.6   457.9   504.4   601.5   911.6  2674.4  38951.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      319.4   116.6   118.1   168.0   182.2   310.0   365.0   392.5   411.7   433.5   468.6   525.2   634.2   844.8  1436.0  44130.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      330.7   126.8   118.1   170.5   185.7   318.3   375.7   404.1   425.6   453.9   494.5   551.5   678.5   916.1  1522.8  49002.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      404.6   253.6   118.1   173.3   191.5   345.6   413.3   459.1   500.6   554.6   657.7   954.3  1385.1  2184.6  2427.9  54117.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      657.4   430.5   118.1   193.2   228.5   558.1   778.8   880.8   983.5  1073.4  1168.1  1441.5  2087.0  2442.0 10595.4  58970.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1036.8   352.4   137.8   717.5   756.4   901.3  1037.7  1136.5  1201.5  1427.9  1617.4  1757.7  2261.3  2532.3  5332.8  61248.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1037.4   349.6   187.4   726.3   761.4   897.2  1012.3  1132.2  1216.7  1497.7  1637.3  1750.6  2245.8  2548.7  3529.1  61525.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1053.0   352.0   173.5   738.4   769.0   914.6  1046.9  1149.3  1224.0  1489.8  1652.0  1792.2  2280.7  2535.7  2759.9  60672.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      983.3   324.4   173.5   711.8   748.2   853.9   915.3   979.2  1112.0  1497.3  1596.4  1699.7  1894.1  2362.2  2677.0  65004.0
