#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      258.3   208.7   137.8   190.5   203.8   249.6   267.4   276.5   285.4   294.2   307.8   327.9   382.8  1499.2 11370.1   3989.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      287.0    62.2   127.6   194.5   219.6   283.9   307.2   319.5   329.8   340.8   355.7   376.5   434.2   778.0  1598.8   9025.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      290.9   250.1   109.4   175.3   194.2   284.3   312.3   327.4   338.1   349.9   367.1   394.0   457.0   807.7 11613.2  14055.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      297.2   139.7   127.6   172.7   188.2   295.3   329.0   345.9   359.0   372.5   392.7   423.0   494.0   684.3  8628.0  18997.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      309.0    98.4   118.1   171.4   186.1   308.9   348.5   368.8   383.2   399.0   420.8   454.9   540.7   824.2  2581.4  24021.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      308.8   105.0   118.1   168.8   182.5   307.9   351.8   373.4   389.3   405.6   429.3   464.6   552.7   819.0  2894.7  29075.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      328.3   123.6   118.1   168.5   183.8   326.6   375.9   400.5   418.7   438.4   465.8   508.3   632.6  1099.3  2838.7  33898.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      331.6   157.4   118.1   168.5   183.9   324.4   377.9   405.6   426.0   449.6   479.9   538.5   664.1  1036.8  4826.1  38783.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      336.7   143.6   118.1   170.9   186.4   327.1   384.3   414.1   435.3   461.3   496.2   561.8   680.8   866.5  2235.4  43947.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      360.3   164.8   118.1   173.0   190.7   340.3   401.4   434.8   460.0   492.3   542.6   622.0   868.7  1851.3  3042.2  48970.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      380.5   195.2   118.1   172.0   189.8   347.1   413.9   452.9   483.5   528.2   592.0   717.4  1083.2  1924.0  2621.8  53994.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      625.0   410.6   118.1   186.0   217.0   482.7   750.0   854.2   943.2  1062.2  1158.0  1391.7  2106.3  2409.6  2787.0  58703.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      962.8   350.4   127.6   597.1   686.4   850.0   941.1  1073.7  1170.6  1390.3  1542.9  1678.4  2097.9  2427.0  3981.2  63596.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1024.4   346.7   137.8   711.3   755.6   895.0  1000.2  1119.5  1187.5  1391.0  1624.2  1744.4  2245.5  2534.5  4305.2  61958.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1033.8   344.4   160.7   726.0   762.3   899.8   997.5  1113.3  1201.6  1478.4  1640.0  1759.6  2217.3  2534.3  3882.1  61825.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1030.8   347.9   187.4   723.6   757.6   885.7  1030.1  1132.0  1188.1  1466.6  1616.0  1733.7  2254.9  2515.7  3919.2  62043.8
