#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      271.6    77.1   137.8   191.0   204.7   256.5   279.7   295.1   308.1   323.0   346.4   404.1   541.4  1020.0  1747.9   3976.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      289.7    91.0   127.6   190.4   209.3   277.6   305.3   320.1   333.3   347.0   371.8   421.0   559.6  1061.5  2881.1   9021.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      311.4   325.4   127.6   183.9   207.0   302.0   330.5   345.5   357.8   370.7   391.3   426.3   514.8  1551.0 16745.9  13959.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      314.4   105.6   127.6   178.0   196.3   312.9   345.2   363.1   374.5   392.3   415.1   456.3   548.3  1584.6  2726.9  18915.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      319.4   105.6   118.1   169.3   185.2   320.1   357.9   378.1   394.4   414.5   442.2   483.0   569.6   864.1  2339.2  23814.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      324.2   114.4   118.1   170.7   185.2   322.0   366.5   391.0   409.1   434.1   463.8   506.3   596.2   833.8  2713.8  28934.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      330.4   122.4   109.4   165.1   180.1   328.1   376.6   405.7   429.7   454.9   484.8   530.5   629.5   871.3  2375.7  34002.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      332.8   132.5   118.1   164.0   178.7   325.2   380.2   411.9   436.3   463.3   497.0   547.2   668.8  1215.5  2573.0  38950.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      337.3   164.7   118.1   166.5   181.2   320.0   380.1   416.0   442.9   471.5   508.6   567.2   717.4  1688.6  4954.6  44099.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      338.2   133.4   127.6   170.7   185.5   321.6   384.0   421.5   449.7   480.2   517.9   574.0   690.2   923.4  1782.6  48878.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      412.1   230.4   118.1   177.0   196.8   363.0   448.6   498.2   536.0   584.6   661.9   836.8  1192.3  2053.1  3717.7  53859.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      791.3   433.1   118.1   220.3   282.1   756.7   942.4  1043.4  1094.2  1158.4  1274.9  1590.4  2157.5  2404.3  4276.8  58658.5
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1020.5   369.7   127.6   646.8   725.3   904.2  1045.8  1134.9  1192.4  1392.4  1608.6  1762.6  2255.9  2527.2  4827.3  61117.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1020.5   370.3   137.8   700.5   746.3   886.1  1003.0  1116.6  1189.7  1449.8  1614.5  1736.3  2209.6  2516.5  8664.6  62386.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1024.2   366.6   137.8   720.4   757.5   882.6   996.1  1112.7  1184.7  1476.9  1623.2  1735.3  2222.6  2495.7  5418.0  62366.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1019.6   372.4   173.5   711.6   752.1   875.3   985.7  1107.3  1179.9  1470.8  1613.2  1730.0  2221.3  2531.8 11978.4  62710.4
