#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      264.6    60.6   137.8   194.0   206.9   255.2   275.0   288.3   296.7   310.5   327.6   361.3   471.1   817.9  1284.7   3977.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      275.0   154.1   137.8   189.4   206.3   268.2   290.9   304.3   314.4   326.0   340.4   363.7   421.2   773.0  9142.7   8997.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      294.8    90.1   127.6   180.4   201.0   291.2   320.0   336.3   346.6   361.8   379.0   407.3   497.4   840.8  3582.9  14021.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      302.4   138.9   127.6   175.9   192.6   301.4   334.6   351.8   364.5   378.6   397.9   428.7   506.1   694.2  8640.9  18917.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      308.1   255.6   127.6   173.9   188.8   304.6   342.2   362.0   374.8   391.4   410.5   442.3   530.6  1178.2 18276.2  23987.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      314.6   119.4   118.1   168.4   183.1   313.4   356.4   377.5   393.0   410.3   433.2   469.3   581.9  1697.7  2690.4  28925.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      315.7   121.7   118.1   166.6   180.6   314.3   362.4   386.2   401.8   421.9   446.2   484.7   588.4   936.7  4127.5  33941.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      322.7   124.4   118.1   166.4   180.9   317.9   370.7   397.1   415.9   436.6   465.0   510.2   629.7  1151.6  2630.4  38963.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      326.4   131.8   118.1   165.3   180.3   319.2   374.7   403.0   423.5   446.4   475.0   531.7   650.0   958.5  2682.3  44053.5
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      339.6   132.8   118.1   170.2   186.1   326.0   386.1   418.0   440.3   467.0   506.0   576.5   718.2  1071.3  1640.8  49048.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      453.3   259.4   118.1   184.4   209.0   392.7   476.9   543.5   595.6   665.0   768.7   966.2  1366.1  2096.8  4315.3  54030.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      644.6   381.6   118.1   201.8   244.3   559.9   746.7   851.3   938.6  1029.8  1126.5  1372.1  1978.2  2311.8  3102.4  59083.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      965.6   380.5   127.6   535.1   694.0   855.7   942.4  1064.5  1152.4  1377.5  1560.2  1698.5  2135.4  2460.9 12060.6  63419.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1025.9   353.7   160.7   704.8   750.4   892.2  1028.4  1120.9  1180.3  1434.4  1614.6  1739.4  2228.8  2506.0  5102.9  61995.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1046.8   352.2   297.4   725.8   761.8   911.1  1054.3  1146.3  1210.9  1427.3  1630.9  1775.2  2285.9  2542.1  4085.2  61084.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1012.7   342.1   255.0   707.0   743.6   867.8   985.2  1112.0  1190.7  1475.9  1593.8  1717.3  2194.5  2464.4  2899.8  63145.9
