#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      283.9   378.4   127.6   206.7   220.4   266.4   284.2   293.7   301.1   311.1   321.0   343.4   402.0  6749.8 15471.4   3976.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      276.5    59.5   127.6   190.6   211.6   273.1   294.4   307.0   315.5   326.1   340.7   366.1   428.0   680.0  1586.7   9038.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      290.0    73.6   127.6   181.2   201.0   289.1   314.6   328.9   339.5   351.9   369.0   395.9   459.9   691.6  1886.7  13979.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      299.4    90.5   118.1   173.9   190.9   300.1   330.5   346.9   360.2   373.6   393.0   421.7   496.7   694.9  2958.0  18941.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      308.3    91.4   127.6   172.6   186.7   309.3   347.5   368.4   382.7   398.1   419.2   454.3   535.8   649.4  1250.5  24087.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      333.1   125.3   118.1   171.9   187.1   331.6   377.8   400.8   418.4   437.1   469.6   517.3   620.7  1655.5  2661.4  28958.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      317.8   218.3   118.1   166.7   180.8   312.4   361.7   385.8   401.6   421.6   447.5   494.7   589.3  1085.5 15787.7  34003.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      331.7   127.4   118.1   168.3   183.2   325.5   380.8   407.9   428.7   456.5   492.3   541.9   637.5   788.9  2337.8  38861.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      339.3   186.9   118.1   166.1   180.8   324.0   383.9   414.6   436.7   469.1   507.1   565.7   715.4  2037.5  6987.2  43967.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      349.1   146.8   118.1   172.1   188.9   332.2   393.3   426.5   455.1   490.8   533.0   593.8   736.7  1045.1  4543.1  49027.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      491.2   318.7   118.1   181.0   205.2   394.5   505.7   589.3   667.2   789.8   951.3  1090.4  1776.8  2193.2  2360.5  53935.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      649.0   400.4   127.6   196.5   232.9   553.7   763.2   877.6   980.4  1059.8  1146.0  1398.5  2061.4  2333.4  2554.9  58874.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1008.3   386.0   127.6   647.4   720.9   887.2  1003.2  1117.1  1185.3  1399.9  1602.1  1738.1  2239.2  2581.2 11963.1  61783.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1024.9   343.3   236.1   718.1   755.9   885.2   997.2  1120.1  1197.1  1462.8  1619.4  1733.2  2217.9  2534.2  3664.1  62344.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1008.6   338.1   173.5   716.9   753.4   869.4   949.1  1067.6  1164.5  1497.4  1613.5  1722.3  2127.5  2450.5  4631.7  63342.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1002.9   430.6   137.8   701.0   744.9   867.0   938.7  1048.0  1166.0  1481.5  1612.8  1718.5  2077.4  2502.7 19720.1  63722.6
