#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      264.7    65.8   137.8   200.5   212.0   257.3   276.3   288.0   295.3   306.5   319.2   344.3   427.0   848.1  2379.8   3957.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      284.8   154.3   127.6   190.5   214.2   279.4   301.7   314.2   322.5   335.5   350.1   375.4   435.8   707.4 10326.9   9098.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      304.0    83.1   127.6   187.8   210.5   302.5   329.7   344.2   356.5   370.0   388.7   416.3   493.3   745.8  2201.7  13978.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      303.7    91.9   118.1   177.6   194.9   302.7   333.5   349.9   363.4   378.1   398.0   429.5   527.6  1012.3  2408.4  18905.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      311.8   117.1   118.1   173.1   188.6   310.4   346.4   367.0   381.3   397.7   420.2   456.8   567.2  1070.4  2749.9  23987.7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      313.8   109.3   118.1   171.2   185.8   313.4   355.6   378.7   394.1   411.5   433.3   469.6   577.6   803.5  1483.0  29021.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      323.2   165.6   118.1   167.4   181.5   320.8   368.8   393.6   410.3   429.3   454.5   497.7   607.8  1263.2  4939.2  33998.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      324.3   138.8   118.1   168.7   182.6   317.3   370.6   397.3   415.9   436.0   464.9   517.7   632.3  1544.5  2979.8  38816.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      333.9   158.3   118.1   168.1   183.8   324.0   382.0   410.7   430.9   455.4   489.7   546.0   663.5  1048.7  3630.1  44008.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      343.5   154.3   118.1   170.4   186.4   327.1   386.6   418.5   440.9   467.7   509.8   576.8   751.0  1755.7  3701.9  48878.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      373.3   245.2   127.6   172.7   190.0   338.1   403.7   440.0   468.1   511.1   568.7   682.9  1078.2  1982.6  4572.7  54012.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      631.2   389.9   118.1   197.1   234.4   528.1   728.5   851.7   949.7  1029.9  1116.1  1357.0  2011.1  2323.6  3007.1  58922.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1006.4   373.1   127.6   674.4   725.1   876.2  1012.5  1117.4  1182.6  1419.0  1584.7  1723.4  2219.0  2477.7  3481.3  62218.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1013.1   351.6   148.8   689.5   730.3   873.4  1023.7  1124.1  1186.6  1440.4  1591.9  1723.2  2223.8  2462.0  2688.8  62455.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1028.2   353.9   148.8   704.2   746.6   890.1  1037.3  1134.5  1203.4  1456.8  1606.6  1735.9  2246.4  2502.6  5282.1  62061.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1015.7   350.6   148.8   701.5   733.8   868.4  1027.4  1117.7  1184.7  1455.5  1582.2  1724.2  2205.4  2442.7  4445.1  62913.8
