#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      366.3   402.6    93.8   143.9   160.6   262.5   326.8   373.9   416.3   477.3   591.8  1006.0  2118.6  4980.6 11680.0  29945.2    30000  1746032145486  1746032155638
read      276.3   288.7    86.8   134.2   146.9   221.4   260.9   288.4   311.2   342.1   396.7   527.0  1384.2  4384.3  7932.5  30056.5    30005  1746032157149  1746032167274
read      298.5   485.8    93.8   135.8   149.0   227.0   267.8   294.5   316.3   346.1   395.5   524.7  1642.3  7398.1 12124.4  29950.8    30010  1746032168786  1746032178885
read      247.0   268.8    86.8   130.1   142.0   212.2   246.9   268.0   284.0   303.8   332.3   387.8   763.7  4961.7  6574.0  30068.0    30015  1746032180395  1746032190494
read      239.1   229.2    86.8   129.9   141.7   213.8   248.4   268.3   283.0   300.3   324.1   370.4   602.0  4349.7  7133.8  30092.3    30020  1746032192004  1746032202103
read      231.4   191.0    86.8   131.4   142.6   209.4   242.3   261.5   275.1   292.5   315.0   354.2   524.9  3540.4  6222.2  29978.1    30025  1746032203614  1746032213712
read      226.3   205.6    86.8   128.4   138.9   201.8   234.1   253.3   267.7   284.9   307.9   346.3   536.7  3158.9  6681.2  30019.6    30030  1746032215224  1746032225322
read      233.2   238.7    80.4   126.9   138.1   204.7   237.6   257.5   272.2   290.6   314.9   360.6   629.8  4722.1  6378.6  30030.8    30035  1746032226834  1746032236933
read      233.6   213.3    86.8   129.8   141.3   210.6   243.5   262.7   276.3   294.0   317.1   360.3   569.9  4010.6  6865.4  30025.7    30040  1746032238444  1746032248545
read      233.4   239.1    86.8   129.1   140.4   208.4   241.6   261.3   275.1   293.3   317.1   360.6   574.4  4560.6  7511.4  30025.5    30045  1746032250057  1746032260157
read      233.6   208.3    86.8   129.8   141.4   210.9   244.0   263.4   277.4   294.9   318.3   360.3   555.5  3816.1  6555.7  30057.4    30050  1746032261667  1746032271765
read      228.7   198.0    80.4   128.7   139.8   206.9   239.0   257.8   271.7   289.1   311.9   350.2   531.0  3778.8  6348.7  29927.8    30055  1746032273277  1746032283378
read      232.2   228.6    86.8   129.1   140.0   205.2   237.5   257.4   272.1   290.3   314.6   358.7   596.0  4044.1  7036.1  30128.3    30060  1746032284890  1746032294990
read      236.0   207.3    86.8   129.9   141.8   212.5   245.9   266.1   281.0   298.6   323.0   367.1   587.4  3662.2  7292.9  30028.1    30065  1746032296502  1746032306600
read      228.3   188.4    86.8   128.2   139.6   207.6   240.0   259.5   273.8   291.6   314.8   355.6   534.5  2892.2  7161.3  30105.5    30070  1746032308111  1746032318211
read      235.2   215.0    80.4   128.4   139.7   209.7   243.2   263.4   277.6   295.2   318.9   364.4   613.4  3818.2  6349.7  30133.4    30075  1746032319722  1746032329823
read      227.7   196.7    86.8   130.5   141.4   205.1   236.5   255.6   270.3   287.9   310.8   348.0   529.6  3557.7  6306.9  30116.6    30080  1746032331334  1746032341431
