#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      179.7    73.0    68.9   106.4   115.0   174.2   202.5   216.2   225.4   234.9   248.4   267.8   310.4   501.5  2810.7  29856.2    30000  1747425184604  1747425194746
read      249.0   336.3    74.4   111.6   120.4   177.9   207.5   224.0   235.7   254.1   305.3   633.5  2387.5  3463.3  5337.4  29953.9    30005  1747425196257  1747425206449
read      263.8   375.0    68.9   111.4   120.0   174.6   203.9   221.4   235.3   263.1   408.8   728.5  2476.2  3316.0  6297.9  30116.9    30010  1747425207963  1747425218190
read      203.0   201.6    74.4   111.2   120.3   172.7   198.8   213.6   224.0   235.6   252.9   289.7  1032.4  2860.5  5150.4  30064.6    30015  1747425219704  1747425229803
read      175.1    67.2    74.4   110.5   119.1   167.7   190.6   203.5   213.2   224.0   236.6   257.4   303.1   616.0  2667.1  30026.8    30020  1747425231312  1747425241412
read      173.5    74.6    74.4   111.1   119.4   166.5   188.6   201.0   210.3   220.5   233.1   252.5   295.1   534.3  3228.4  30110.1    30025  1747425242921  1747425253017
read      174.7    63.0    74.4   112.2   120.5   167.8   190.6   203.1   212.7   223.1   235.1   254.2   295.5   432.9  2427.8  29904.8    30030  1747425254527  1747425264626
read      208.4   157.8    68.9   113.9   123.9   182.5   211.8   228.8   241.6   258.2   283.6   340.4   796.0  2218.4  4921.7  30008.8    30035  1747425266136  1747425276234
read      188.4   155.0    74.4   110.7   119.2   169.5   195.7   210.4   220.4   232.1   247.8   272.7   554.9  2163.8  5515.0  30134.1    30040  1747425277743  1747425287844
read      188.4   143.9    74.4   110.4   118.5   169.1   195.0   209.5   219.6   231.8   248.0   273.5   667.5  2110.7  4830.6  29997.8    30045  1747425289353  1747425299451
read      178.5   109.3    74.4   109.6   117.1   165.8   192.0   206.5   216.6   228.3   242.8   265.2   326.4  1632.4  4248.8  29943.1    30050  1747425300960  1747425311058
read      178.5    97.9    74.4   109.8   117.2   166.3   193.1   207.8   217.7   229.4   243.8   266.3   326.1  1387.4  2775.8  29957.7    30055  1747425312568  1747425322666
read      180.7    95.5    74.4   109.9   117.3   168.9   197.9   213.1   223.3   234.4   249.5   271.5   327.5  1305.8  3686.8  30065.8    30060  1747425324175  1747425334273
read      175.6    99.9    74.4   107.2   114.4   163.7   190.4   204.4   214.4   225.7   239.1   261.6   323.1  1425.5  3443.2  30228.0    30065  1747425335783  1747425345880
read      178.7    85.6    74.4   108.5   115.7   167.6   197.3   212.6   223.0   234.2   249.4   271.3   321.2   981.0  2488.6  30059.8    30070  1747425347389  1747425357488
read      178.9   102.1    74.4   109.0   115.9   166.4   194.8   209.9   220.0   231.6   246.5   268.7   332.9  1258.6  4936.3  30058.0    30075  1747425358998  1747425369096
read      184.3   100.8    74.4   110.0   117.4   172.8   203.1   218.8   229.5   241.6   256.2   278.5   334.9  1321.0  4174.2  30071.1    30080  1747425370606  1747425380708
read      193.6   159.5    74.4   110.7   118.7   176.5   208.3   224.8   235.5   248.9   265.2   289.9   419.6  2157.8  6406.0  30072.7    30085  1747425382217  1747425392314
read      189.5    74.8    74.4   112.5   121.7   184.3   213.0   226.4   234.9   245.7   258.0   276.7   324.0   829.0  2417.3  30033.6    30090  1747425393824  1747425403921
read      185.4    68.7    74.4   111.5   120.5   180.8   208.8   222.0   230.7   240.7   253.0   272.2   314.9   465.3  2365.3  30059.1    30095  1747425405430  1747425415530
read      185.3    71.0    68.9   111.8   120.6   180.8   208.9   221.9   230.4   240.0   252.1   270.7   311.9   539.0  2708.5  30048.5    30100  1747425417039  1747425427138
read      182.8    70.0    74.4   111.6   119.9   177.0   205.4   218.6   227.5   236.6   249.9   269.2   311.4   607.0  2459.6  30117.4    30105  1747425428647  1747425438749
read      183.4    72.0    68.9   110.8   119.6   177.2   206.0   219.6   228.7   238.5   251.5   270.9   314.4   576.9  2557.1  30182.3    30110  1747425440259  1747425450356
Terminated
