#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      227.3   273.6    68.9   105.2   116.1   188.9   224.4   245.7   262.9   284.4   314.4   373.4  1010.5  4376.8  6433.8  29994.1    30000  1745789810480  1745789820630
read      214.7   199.7    68.9   105.5   116.5   188.7   223.8   244.5   260.4   279.6   306.8   355.7   594.4  3419.5  6072.6  29974.4    30005  1745789822142  1745789832264
read      202.3   166.0    63.8   102.5   112.8   182.5   214.9   233.6   248.6   266.8   290.7   330.3   461.5  2862.2  6026.3  29981.0    30010  1745789833775  1745789843874
read      200.0   169.0    63.8   102.2   112.3   180.3   213.2   232.4   247.2   265.1   288.4   325.7   451.2  2968.1  6256.9  30055.7    30015  1745789845384  1745789855482
read      202.7   187.1    63.8   102.6   112.7   180.5   212.9   231.4   245.9   263.7   287.6   326.9   489.5  3298.7  6154.0  30025.3    30020  1745789856993  1745789867098
read      199.2   158.0    63.8   102.3   112.2   180.0   212.9   231.5   245.9   263.5   286.5   322.0   457.4  2589.7  5759.7  30005.7    30025  1745789868610  1745789878709
read      196.6   144.1    68.9   102.5   112.5   179.2   211.4   229.5   243.3   260.4   283.0   319.0   430.9  2357.3  4896.0  30066.3    30030  1745789880220  1745789890320
read      201.6   189.7    63.8   102.4   112.4   179.7   211.5   230.0   244.2   262.2   286.5   325.3   473.6  3204.4  6151.6  30164.7    30035  1745789891830  1745789901930
read      202.3   188.0    63.8   102.6   112.6   180.9   213.7   232.1   246.7   264.8   289.2   329.5   466.6  3350.7  6423.1  30100.5    30040  1745789903440  1745789913541
read      201.8   182.5    63.8   102.1   112.0   179.3   212.1   231.0   245.7   263.8   287.7   326.9   495.1  3169.6  6110.8  30081.4    30045  1745789915050  1745789925151
read      195.5   143.5    63.8   102.2   112.1   178.3   209.7   228.2   242.2   259.5   282.4   318.8   423.4  2360.4  5057.8  30063.3    30050  1745789926662  1745789936761
