Timestamp start: 1747052047877
Timestamp end: 1747052888182

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      218.9   227.3    80.4   130.2   144.0   188.0   207.1   217.6   226.6   236.0   254.2   310.5  1016.8  3350.0  7798.4   8216.3     8195
read      226.5   266.3    68.9   106.9   117.9   187.3   226.6   249.7   267.2   288.3   316.8   370.8   932.6  3490.6  7742.9 158515.5   158594
read      206.4   124.6    68.9   104.6   114.7   179.4   217.2   240.9   259.6   282.2   312.7   368.3   685.8  1379.3  2362.3 149723.9   149766
read      204.1   100.5    74.4   123.7   140.3   190.2   211.0   222.8   231.5   243.2   260.7   296.8   559.6  1309.2  2265.1  10400.4    10382
read      248.9   236.9    68.9   114.8   128.7   208.7   249.5   273.7   292.6   316.0   349.6   418.0  1375.1  3281.1  7048.8 170516.4   170548
read      214.1   133.6    63.8   106.6   117.3   184.9   224.2   249.1   268.5   292.5   326.2   392.0   716.8  1467.6  2547.7 150574.1   150565
read      204.4   116.9    63.8   102.9   112.5   177.0   216.6   241.6   261.1   284.7   315.8   373.7   648.6  1167.4  2194.0 137139.0   137144
read      207.0   135.8    68.9   103.8   113.8   179.0   217.3   241.2   259.9   282.4   312.3   366.4   696.9  1670.3  3085.7 143536.1   143496
read      208.9   149.2    63.8   104.1   114.2   180.6   219.2   243.4   262.2   284.7   314.6   368.3   671.3  1795.2  4073.6 144932.0   144743
read      201.6   111.2    68.9   100.2   109.3   174.6   218.4   245.4   265.6   289.1   318.9   373.4   547.3  1083.9  3072.5 116670.2   116745
read      203.7   124.3    63.8   101.7   110.9   175.4   216.2   241.8   261.7   285.1   315.9   372.6   641.6  1273.9  2826.9 129230.7   129314
read      208.0   142.3    63.8   104.2   114.3   179.5   217.4   241.1   259.7   282.1   312.2   366.3   741.2  1608.7  3242.7 144874.3   144723
read      205.7   119.4    63.8   100.8   110.0   176.3   220.9   248.8   269.5   293.9   327.0   390.9   609.9  1106.2  2722.3 117225.9   117379
read      210.1   186.5    68.9   102.1   111.4   177.6   220.1   246.9   267.2   291.2   322.1   386.9   679.2  1775.6  4886.1 119918.6   119931
read      210.6   153.2    68.9   103.1   112.9   179.7   220.7   246.5   266.0   289.4   319.9   378.2   727.8  1765.8  3729.6 132197.7   132052
read      217.4   176.9    68.9   105.5   115.9   184.2   224.0   248.5   267.4   290.2   320.6   381.7   862.8  2335.6  4936.5 143299.0   143350
