Timestamp start: 1747214468358
Timestamp end: 1747215308632

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      203.3   181.7    74.4   117.3   133.3   183.5   203.8   215.7   224.6   234.4   249.9   280.1   834.4  2057.6  7773.9   8078.3     8195
read      305.5   447.2    68.9   124.8   141.7   239.6   285.3   310.2   328.4   350.7   382.8   447.2  3013.3  6227.7  9504.1 158242.0   158594
read      227.8   161.8    68.9   112.1   124.5   198.0   237.3   262.2   280.2   302.4   332.4   384.7   908.0  2118.0  3264.3 149608.7   149766
read      200.0   103.5    63.8   113.4   131.4   187.0   208.7   221.1   230.8   242.7   258.9   289.5   620.1  1329.1  1884.9  10337.3    10382
read      313.8   351.4    68.9   134.4   153.7   259.0   302.8   327.9   346.4   371.1   406.5   489.9  1826.3  4225.7  7833.2 170372.0   170548
read      219.0   147.3    63.8   110.4   122.0   192.7   231.5   255.8   273.6   295.6   324.7   372.6   651.9  1923.7  3846.9 150649.0   150565
read      210.6   124.3    68.9   105.9   116.5   183.6   223.7   249.1   268.5   291.4   320.7   369.5   671.0  1568.8  2181.3 137675.3   137144
read      211.5   141.5    63.8   105.4   116.2   183.6   223.3   248.1   267.1   289.6   318.1   366.3   692.4  1805.5  3588.9 143690.0   143496
read      218.2   149.6    68.9   107.6   118.7   188.8   228.9   254.0   272.9   295.6   325.7   374.7   800.4  1940.7  3039.1 144629.7   144743
read      208.2   108.4    63.8   103.1   113.0   182.0   227.5   255.7   276.0   299.6   329.4   376.6   564.7  1049.4  1837.5 116800.7   116745
read      213.0   128.3    59.1   105.3   115.9   184.4   226.3   252.9   272.6   296.3   327.6   379.4   703.8  1450.7  2867.3 129348.3   129314
read      216.4   164.2    63.8   107.6   118.7   188.0   227.9   252.6   271.1   293.6   322.4   371.3   719.2  1930.1  3883.1 144580.3   144723
read      209.3   113.0    68.9   102.8   112.6   181.6   226.9   254.9   275.2   299.3   330.0   380.1   625.6  1153.8  2033.6 117604.7   117379
read      211.0   127.1    68.9   103.2   113.0   181.3   226.5   254.9   275.4   300.2   331.9   385.5   661.0  1305.8  2324.9 119635.3   119931
read      210.5   143.1    68.9   104.7   114.9   182.4   223.3   249.4   269.2   292.9   322.3   372.7   689.4  1357.0  3256.0 132107.0   132052
read      215.3   140.0    63.8   106.7   117.8   186.1   225.4   250.2   269.2   291.9   321.3   372.5   813.1  1666.9  2606.5 143454.7   143350
read      215.5   142.6    63.8   107.9   119.0   188.4   228.1   252.8   271.3   293.9   323.6   372.5   696.9  1685.4  3435.1 143617.7   143518
read      256.0   196.9    68.9   125.9   142.0   228.3   270.6   295.3   314.1   337.3   368.7   423.3   701.2  3141.5  6075.7 172955.0   172981
read      284.3   345.5    68.9   103.8   114.9   206.4   267.8   308.4   343.5   393.6   462.1   585.3  1938.7  3917.6  7849.0  94042.0    94027
read      246.8   205.0    63.8   120.4   135.2   217.1   258.6   282.9   300.8   321.9   351.9   401.6   773.9  3322.2  4913.3 169959.3   170019
read      248.4   163.9    68.9   126.5   142.1   225.6   265.3   288.5   306.0   326.9   355.7   402.6   609.1  2169.3  5082.6 179110.0   179090
read      254.8   173.1    63.8   100.6   111.4   227.5   278.1   309.3   333.0   361.8   399.2   464.6  1001.9  1790.1  3047.9  47191.7    47130
read      240.0   349.0    68.9   108.1   126.2   220.5   256.2   275.2   289.4   305.6   326.2   362.8   728.0  1877.6 20276.8  19551.0    19439
read      319.9   436.9    68.9   111.5   125.3   222.8   277.3   307.0   328.9   357.8   403.9  1103.3  2532.7  4572.3  7919.4 129060.3   128963
read      234.8   144.7    63.8   104.6   119.6   217.2   254.5   275.6   291.9   310.6   334.8   377.0   777.4  1663.4  4044.9  23924.7    23787
read      279.0   259.7    63.8    99.5   110.4   225.4   292.9   335.5   365.3   398.3   440.9   531.4  1507.7  2546.4  7303.3  61966.0    61848
read      272.8   370.8    63.8   104.1   114.8   198.5   252.9   286.3   311.8   345.8   409.5   562.5  1934.8  5131.9  7878.9 102010.7   101968
read      213.1   131.0    59.1   101.9   111.5   182.7   231.1   260.3   281.1   305.9   337.4   390.6   632.2  1576.0  2381.4 108702.7   108767
read      306.6   420.5    68.9   105.4   117.1   210.8   273.4   316.4   356.7   415.8   491.3   635.0  2396.2  5170.8  7991.2  97146.0    97139
read      235.5   233.8    68.9   113.8   127.0   202.5   244.6   269.6   288.0   310.0   339.1   388.0   696.0  3438.8  6954.0 158524.3   158594
read      216.3   153.3    68.9   107.3   118.3   187.6   228.7   254.0   272.7   295.3   324.4   371.3   672.6  2130.0  3560.4 140885.3   141240
read      247.0   166.9    63.8   100.7   112.1   223.1   270.3   298.8   320.2   345.1   378.9   436.9   872.9  1874.4  3097.3  41268.3    41405
read      274.7   235.7    63.8   100.1   111.0   227.9   292.6   333.2   362.5   395.4   437.0   526.8  1312.8  2443.0  7114.0  57649.3    57997
read      269.1   349.2    68.9   107.6   119.5   202.7   253.0   281.7   302.3   327.3   363.2   455.7  1695.0  3646.4  8942.9 133773.7   133577
read      255.6   207.5    68.9    99.9   110.4   222.0   277.0   310.6   335.8   366.0   405.0   471.8  1046.4  2195.1  7392.2  53654.3    53832
read      295.1   435.4    63.8   111.4   125.2   216.3   267.4   294.5   314.2   338.5   372.7   465.1  2863.7  5192.0  8116.0 139358.3   139832
read      236.8   173.2    63.8   118.6   133.0   211.4   250.6   273.9   291.7   313.3   341.8   390.8   630.7  2562.9  5068.9 170192.3   170515
read      211.1   140.0    63.8   103.5   113.8   182.2   224.9   251.8   271.7   295.1   324.9   372.6   654.4  1747.4  3853.4 128808.7   128494
read      228.2   128.3    63.8   107.6   124.2   213.5   247.8   267.1   280.8   297.1   319.7   360.8   675.9  1522.7  3157.7  20813.7    20789
